event,grade,quiz,std_id,video
809,"841    1
Name: grade, dtype: float64",130,b90558eb2f221312007c79b31cf9a6105a0d9f5b,28
233,0,28,b681782b089792abe799167243e4f78c90df92f5,10
35,0,0,a1b577059409c1addc86c509ceb02bfda3cb02f3,2
345,"24006    1
Name: grade, dtype: float64",92,daa8dd649e3b2e394d3fa80cf1e8759723dbbfeb,15
14,"28369    0.09
Name: grade, dtype: float64",0,9af6fe00da95f39d44cf9df1412ae2aa21c6ba2e,2
185,"6370    1
Name: grade, dtype: float64",30,249fbf3f4c6e6fd4e89f6d38f11876abf0428b89,1
468,"19945    0.93
Name: grade, dtype: float64",50,73417935a533600acf607137b8d3c660f57c7e6d,31
514,"16860    1
Name: grade, dtype: float64",84,1ab8d09247102b87e1d3f1165de4d7269738bb62,20
92,"25176    1
Name: grade, dtype: float64",14,e16d2ec08137d101f254a1020a56da94a53cdbae,6
20,0,0,4def6b8d0a435290abd786d8ba99864b24790ce0,3
595,"13898    1
Name: grade, dtype: float64",96,877a8349369936bd73aedb5e906dd59a6d62ac28,21
40,"8013    1
Name: grade, dtype: float64",8,d541aabdd9bac7ef43e654e142a27c2b79cabb1b,4
182,0,18,d9abb78fac279771962754760ef822eac9b89090,9
394,"15746    0.99
Name: grade, dtype: float64",32,74de875d874ca22460a9cbf31cf4e95f2ef151bc,15
534,"21220    0.95
Name: grade, dtype: float64",22,42b86691a9823223489216449cd738e26217ad7b,7
216,"27624    1
Name: grade, dtype: float64",30,08f7abe5dcab38516dc2e360b0ed72612cdb6e57,11
172,0,7,dc48cb82f7fd72d695fbfa79d4463cc428882e40,5
321,"24932    1
Name: grade, dtype: float64",47,b1dd7e08e0081a638ba1f3f1f9e56fc294ff361c,10
45,"26078    0.95
Name: grade, dtype: float64",0,d858a4a9859e2e1a6f66ab52994c85a60d370b0c,6
104,0,0,6e7cd401c3c145b9bf07bfdc2b4b79b097b0933f,4
715,"5157    1
Name: grade, dtype: float64",74,fa636e175a600c1853fb2b21b2dea800dd1950bb,3
60,0,2,1dd61218b92f821fabde42778ea8a747686a112a,4
467,"2143    1
Name: grade, dtype: float64",38,802de0645d4d7f71414539747418c5ed05a7006d,12
204,0,0,9d461ccee4e85f985b0cb69b55685dbe671714fd,10
143,"19045    1
Name: grade, dtype: float64",31,fabc1207872fe0aae61a0c4b34004221bc8be3ed,5
31,0,0,665334e2857a6e0240549b6d23acb7150b74500a,3
542,"24890    0.95
Name: grade, dtype: float64",119,bacee3177b2f47d8d91a9ccc3eac843f4ca594ea,3
662,"20503    1
Name: grade, dtype: float64",74,40ceb32ce300f472013e31f16307896f1fd0b102,2
499,"26778    1
Name: grade, dtype: float64",65,1f1ffda03279a083c2c0da2cac4ed7a29458b6c0,20
507,0,100,88dc4dfbe9b65396b06fe82ec29952f92a236382,2
8,0,0,14582009c3249a744951f3a70ada4c54a1fb6cb0,1
338,"10707    1
Name: grade, dtype: float64",52,daaf66ee68525956d43e0d7548370ffab4089e8e,18
372,"407    1
Name: grade, dtype: float64",28,143453c19d1e3570343783c452cff4aa341ae305,13
16,0,0,2e18510090eff7c2444e2d6e12246fdb548bc283,2
180,"11209    0.97
Name: grade, dtype: float64",10,52c519f4d2e4ec766efe663f6e6f7918a227fd7d,10
205,0,40,fcf81a748632900e3762b9c97a4397860c307f6d,4
26,0,0,0e40b4d5c31e2ff3cb0df51045a0569749784e42,3
33,"16664    0.95
Name: grade, dtype: float64",4,49e4f016b60edb3a589cdb86a00c5af3e10709d3,2
996,"18563    1
Name: grade, dtype: float64",89,e0850fc921aed3144c4f73e7238f7001f4d916bd,24
691,"710    1
Name: grade, dtype: float64",122,b5a7d7d321530457a025ee105031436bcf11bf27,21
530,"30073    0.71
Name: grade, dtype: float64",56,d36b99a1a866fe21e3af6885c41089cf3e0de1fb,6
16,0,4,9e933ed7dd612104abb826f47be90460ce18559c,2
250,0,22,e2498ffd5d442e8d9e446c9308c2602311dfd97d,11
468,"33908    1
Name: grade, dtype: float64",104,eed2bf4a76fd3fa31504d1da60a29c96eea369d0,5
1,"18274    1
Name: grade, dtype: float64",0,d2bbed2f830fdfa8a60b6fd049a3de24cbbda45d,1
377,"9242    1
Name: grade, dtype: float64",32,36fee85373b7202a9e81ac29930b6760d5e02e81,17
134,"6396    1
Name: grade, dtype: float64",44,6da51ab50023e9f1c625a7757f5c616fc8816dc3,4
293,0,0,ce50a6a6fa3ce9f00da54d808bb82f9ddf55e8b6,25
144,0,16,4c117fcef3143ee0b777830c6f50a585f8dc1d7e,3
1077,"30117    0.99
Name: grade, dtype: float64",167,83a0c93e7eecca7f7ff73c05ae077ac42fd9c991,21
236,"13880    1
Name: grade, dtype: float64",44,c494d3665fb9c14153f7d4770c365d30329b252c,10
1612,"937    1
Name: grade, dtype: float64",112,dffc64beb37f96abffc96e020dcbeb0b2b5cebbe,28
502,"28603    0.98
Name: grade, dtype: float64",92,9d81a57b0fe74c40d0a2049a66bbe8568db4dc9c,17
494,"32686    1
Name: grade, dtype: float64",67,dd4079d02e488e46920c8a10da735309e273d82c,16
506,0,74,0ba6afb2e046579f394f0f09f768ebda3d5f340e,16
483,"922    1
Name: grade, dtype: float64",103,162bcdba56d5cfa53812a04199327fa1fd21f01a,9
407,"24648    1
Name: grade, dtype: float64",40,6628e5e5b19f97df61299543f688cd604cac2ebe,13
67,0,10,cdd353086c7f46e90c99cf8430a8e2b5ebaf0fc7,4
212,0,16,f0058acaccec3c5fa75045d6d1cfc28bfeee94cc,9
261,0,30,3c40adb29e11c0e96921193158f5b90805095219,8
1,"8198    0.1
Name: grade, dtype: float64",0,5cef5ebefb926ab7a2204e254f7f13ab43aae124,1
581,"11933    0.99
Name: grade, dtype: float64",80,65a8c284d5255100c2458a38c80d7d3ead83ece9,2
105,0,6,529d47b95b0bda111b4d0944c4b674626a3d019a,6
372,"26168    0.98
Name: grade, dtype: float64",74,6f2abede42e80edd3dc6288af5714ec3f59e6503,13
60,0,8,2f3004925c4d834b93b75faba2d7ecd2bc7202fa,3
717,"1182    1
Name: grade, dtype: float64",123,c0d6b3db793625bdeca81758bc9543506d6471a0,22
218,0,20,3ddfee1d14fc68f5b990d3ea22cc0762a72c3c0f,10
40,0,0,c8269a6b9dff460d74d5011a3a705ae8b4800e90,5
24,0,0,249703ff69bc1f9bd6169d2f202956510d4bf229,3
10,0,0,16ab9220d225ba5815de0ac55f2c16b77a83ad65,1
397,"23107    1
Name: grade, dtype: float64",50,e237770545e5228d6af29baebc0fdae42f6ee34d,18
782,"5225    1
Name: grade, dtype: float64",128,2e786dc81a25b51dd8cb3cea39975e9f587c7289,22
42,0,4,f2f4629c94627dbc93cb9f506fcfd306783a59f8,2
10,"31880    1
Name: grade, dtype: float64",0,e4da18c72cbfe2fc610df8d8f9a1cb824d1ca6e0,2
349,"26196    1
Name: grade, dtype: float64",52,233df2fe3166e7ac2de94661c34f9f8a7c269483,18
40,0,0,a798d9db8e3abf2cae1ef81e95b7b724ad5c74a0,3
