,std_id,grade,dropout,course,forum_score
0,de93c27ad67538b6481a4f9857c626d2aef7afe0,0.03,1,1,0.04
1,5fa44f4d7ec6e3cb742edd14dcb6f8ff4ae21a61,0.0,1,1,0.12
2,a0c2aeb50447d33a01abf439f8e17946550aa5bb,0.0,1,1,0.79
3,566f21390185c13b265e698255df6f7beaefeb9b,0.0,1,1,0.74
4,6aff5578d8cfcfd2297bcec65aa68c76a4c96649,0.0,1,1,0.75
5,3b14f6bd5d76f13ff913fc58b732faf0b3490d8d,0.0,1,1,0.54
6,30ebf2249ea4b2dcce17a3a8449f42d08e9a6e32,0.97,0,1,0.04
7,b6c0ebcf4b1b78fd41de15944bf3f5ce35bdb4ce,0.0,1,1,0.79
8,a46b958b36f0bf7ec0f149e56b7c2b63d0a16c31,0.0,1,1,0.07
9,bc03200eb83fb9f63f2c3b7dc8bf6c2aae783122,0.0,1,1,0.89
10,73167f16da3065be7cd844bb3413a557f6042811,0.02,1,1,0.16
11,e5c2cb0d311a456490ef758e107a282f5a144507,0.0,1,1,0.41
12,6e7fb6272fca96725107c71a9789844cc5b1983b,0.0,1,1,0.89
13,ade45596703c3973f2bab93aca82c04701f88a21,0.06,0,1,0.34
14,57e85ab313acf8140fc4567af7081a47b5dfad57,0.0,1,1,0.54
15,192cb63218d49438e54ebfad89a42151ac0933b1,0.0,1,1,0.55
16,8bef7d58fbfd21c64483016d1c0f85dee3736804,0.03,1,1,0.04
17,92361ecec2de2e2b3ae58865636bc4a737eddca0,0.0,1,1,0.59
18,33e17b76e800076192bde09f29a5d370d4a77152,0.59,0,1,0.31
19,71376559c95658b2fb47f054b06e39d24c3c1a43,0.0,1,1,0.85
20,eb35796089592875de4cdbbfa0d427d6eb3fae6f,0.0,1,1,0.77
21,fff2afd7405a08fef75a32d2cc375a9b2285ea40,0.25,0,1,0.25
22,cd9d379715cccc83fd8c8c2dc0730c6dd081bd35,0.0,1,1,0.20
23,313a1468382207c7c375a151564f76cf327171cc,0.07,0,1,0.38
24,6f7aca7fc07eb8820098b24a237c22fb0d4a2c56,0.0,1,1,0.83
