,NP,NB,NF,MP,SR,RL,TP,session_no,mean_grade,varience_grade,dropouts
NP,1.0,-0.522232967867,,-0.570056539372,,-0.522232967867,0.522297168541,-0.522232967867,0.590503651133,0.520116264245,0.85846629651
NB,-0.522232967867,1.0,,-0.358407327156,,1.0,-0.999999784384,1.0,-0.992683759245,-0.994255234184,-0.101479766484
NF,,,,,,,,,,,
MP,-0.570056539372,-0.358407327156,,1.0,,-0.358407327156,0.358528366679,-0.358407327156,0.30558104409,0.386287008191,-0.712191276599
SR,,,,,,,,,,,
RL,-0.522232967867,1.0,,-0.358407327156,,1.0,-0.999999784384,1.0,-0.992683759245,-0.994255234184,-0.101479766484
TP,0.522297168541,-0.999999784384,,0.358528366679,,-0.999999784384,1.0,-0.999999784384,0.992746160915,0.994324917794,0.101754797304
session_no,-0.522232967867,1.0,,-0.358407327156,,1.0,-0.999999784384,1.0,-0.992683759245,-0.994255234184,-0.101479766484
mean_grade,0.590503651133,-0.992683759245,,0.30558104409,,-0.992683759245,0.992746160915,-0.992683759245,1.0,0.996296076891,0.207517863207
varience_grade,0.520116264245,-0.994255234184,,0.386287008191,,-0.994255234184,0.994324917794,-0.994255234184,0.996296076891,1.0,0.135316962524
dropouts,0.85846629651,-0.101479766484,,-0.712191276599,,-0.101479766484,0.101754797304,-0.101479766484,0.207517863207,0.135316962524,1.0
