,NP,NB,NF,MP,SR,RL,TP,session_no,mean_grade,varience_grade,dropouts
NP,1.0,0.408248290464,-0.471404520791,-0.521884443806,-0.471404520791,0.786814023896,0.436185251098,0.408248290464,0.726223439553,0.779325635116,0.259958477712
NB,0.408248290464,1.0,0.57735026919,0.538469220433,0.57735026919,0.865798144989,0.559795299618,0.0,0.2994664063,0.279709692536,-0.689450399607
NF,-0.471404520791,0.57735026919,1.0,0.997918239763,1.0,0.0912992776831,0.352733656072,-0.57735026919,-0.162086733801,-0.241468510191,-0.96482778126
MP,-0.521884443806,0.538469220433,0.997918239763,1.0,0.997918239763,0.045154610586,0.294575300348,-0.563131932819,-0.222770635282,-0.301754969499,-0.946014425454
SR,-0.471404520791,0.57735026919,1.0,0.997918239763,1.0,0.0912992776831,0.352733656072,-0.57735026919,-0.162086733801,-0.241468510191,-0.96482778126
RL,0.786814023896,0.865798144989,0.0912992776831,0.045154610586,0.0912992776831,1.0,0.466568658725,0.353831578674,0.464573677539,0.489127262937,-0.249575373263
TP,0.436185251098,0.559795299618,0.352733656072,0.294575300348,0.352733656072,0.466568658725,1.0,-0.610950627376,0.865895735969,0.820477999182,-0.582346244519
session_no,0.408248290464,0.0,-0.57735026919,-0.563131932819,-0.57735026919,0.353831578674,-0.610950627376,1.0,-0.318992730902,-0.233349615738,0.637144651864
mean_grade,0.726223439553,0.2994664063,-0.162086733801,-0.222770635282,-0.162086733801,0.464573677539,0.865895735969,-0.318992730902,1.0,0.995622470066,-0.0999047072519
varience_grade,0.779325635116,0.279709692536,-0.241468510191,-0.301754969499,-0.241468510191,0.489127262937,0.820477999182,-0.233349615738,0.995622470066,1.0,-0.0206590445469
dropouts,0.259958477712,-0.689450399607,-0.96482778126,-0.946014425454,-0.96482778126,-0.249575373263,-0.582346244519,0.637144651864,-0.0999047072519,-0.0206590445469,1.0
