user_id,NP,NB,NF,MP,SR,AS,RL,TP,ES,session_no
2fec92b3cc74e04744c86a909d0cc5b1e2e6e4d1,1,0,15,728.0,433.526265,1.0,0.0,781.596004,0.0,2
b1c4a0f4c1d1fc59e54ac165aefc01cf7e71e876,2,2,0,114.0,0.0,1.0,95.764058,220.426785,0.0,1
b1c4a0f4c1d1fc59e54ac165aefc01cf7e71e876,2,4,0,189.0,0.0,1.0,402.160117,667.319529,0.0,2
e5374a213edef37adf48ec5cf346295ddc92a6cb,7,2,2,8.5,393.137519836,1.0,426.924163818,781.746398926,0.0,1
5be09dd78c515f3dfd160e5b5dd1d085b02489ad,6,0,0,30.0,0.0,1.0,0.0,781.557014,0.0,1
5be09dd78c515f3dfd160e5b5dd1d085b02489ad,6,0,0,5.0,0.0,1.0,0.0,781.555487,0.0,2
7f55f418be16b98d06ce5c1a0d5595afe6fbcbea,2,0,1,937.0,578.7885,1.0,0.0,781.1115,0.0,2
83b297c78ec83ecd807dde7dffdbc0b99d540c07,2,1,0,102.0,0.0,1.0,6.1056,781.51408,0.0,1
ba45b4360afa83096461f838ce5943631bccda89,9,0,0,8.0,0.0,1.625,0.0,781.420599,-0.375,1
865fd16a754e18f9692e0fe7dc3fa74835849c4d,2,0,0,97.0,0.0,1.0,0.0,781.583673,0.0,1
f03591e9e6c7879f26c1cefa9fd8beebe3d0eb95,3,9,0,11.0,0.0,1.0,165.329,456.321,0.0,1
f1b8b2991f5e6bb5d220f627ed0cc451068e940d,2,0,0,729.0,0.0,1.0,0.0,781.71002,0.0,4
f1f34e0f1c32ccfb93a4c90bf449a1591bce9f4d,4,0,0,128.0,0.0,1.0,0.0,781.590207,0.0,1
738fd53d66c6473465b14b47ad368728390aa8ef,2,1,0,344.0,0.0,1.0,17.606113,655.578318,0.0,2
efd966640901c99542c95d7e67a04904ecb54fda,2,1,0,8.0,0.0,1.125,7.32,736.726,0.125,3
e2e69b884eaf193714e4121dc298f9e2647b5120,5,0,0,28.6130965,0.0,1.125,0.0,781.769409,0.125,2
443f956c3e184fab22344b0dc9cd9ea49d63fc21,4,0,0,207.0,0.0,1.0,0.0,308.6778924,0.0,1
116794a5a625170b8c90498b7335deefc85a1696,2,1,0,46.0,0.0,1.0,25.741,781.581,0.0,2
47fb24338b8cdc43a7aaeb49392e907497f3c41e,2,0,0,164.0,0.0,1.0,0.0,134.500158,0.0,1
5dc735da3c8adf4c955f6e2d3aa546ec95bebf5f,10,0,0,102.0,0.0,1.0,0.0,781.721286,0.0,1
7672fe2d1b9099475af20a75c5350946c38daafe,5,1,0,10.5,0.0,1.0,2.561,352.622,0.0,1
7672fe2d1b9099475af20a75c5350946c38daafe,5,0,0,49.0,0.0,1.0,0.0,428.879,0.0,2
1257dbb7911530f5cf15e94fa376321f1bbdb218,3,0,0,9.0,0.0,1.0,0.0,781.450293,0.0,1
9d898710bea8dd4fc77fcabe60f46728fe896781,7,0,0,21.0,0.0,1.0,0.0,781.820922852,0.0,2
9d898710bea8dd4fc77fcabe60f46728fe896781,9,2,0,48.5,0.0,1.0,26.946353,781.581066,0.0,4
9d898710bea8dd4fc77fcabe60f46728fe896781,8,0,0,108.0,0.0,1.0,0.0,781.503582,0.0,6
9d898710bea8dd4fc77fcabe60f46728fe896781,16,3,0,53.0,0.0,1.0,163.069244385,781.611572266,0.0,7
9d898710bea8dd4fc77fcabe60f46728fe896781,8,4,11,68.0,476.984886,1.0,800.288357,781.364262,0.0,12
9d898710bea8dd4fc77fcabe60f46728fe896781,3,2,4,37.0,126.088485,1.0,383.025946,381.750442,0.0,13
63c1a2acff565a8621341b120b7d5faffd04d7a0,7,0,0,77.5,0.0,1.0,0.0,781.759066,0.0,2
9ab9b0afcb71e3bc0a56c0e8fcd76bde7225b03e,3,4,1,180.5,337.0,1.125,179.958088,781.711692,-0.125,2
