user_id,NP,NB,NF,MP,SR,RL,AS,ES,TP,session_no
e0ca28e027c938f03c2dde850eb2383e5127f249,1,0,0,nan,0,0,1,0,247.38,1
500bc20f5469966643452f0c37fdc7a2ace51f22,1,0,0,nan,0,0,1,0,1098.235389,1
500bc20f5469966643452f0c37fdc7a2ace51f22,1,0,0,nan,0,0,1,0,1097.013376,4
00dafe63e9d87529890f35b54fd5188a02974fda,2,0,0,4.0,0,0,0.91666666666666663,-0.08333333333333337,165.01138,1
00dafe63e9d87529890f35b54fd5188a02974fda,40,9,1,40.0,1.8662229999999909,217.6729590000001,0.75,-0.25,405.841789,2
00dafe63e9d87529890f35b54fd5188a02974fda,18,6,0,16.0,0,49.47167899999988,1,0,279.17626700000005,3
00dafe63e9d87529890f35b54fd5188a02974fda,2,2,0,996.00000000000011,0,214.648284,1,0,107.80728299999998,5
00dafe63e9d87529890f35b54fd5188a02974fda,8,0,1,17.0,896.288716,0,1,0,1093.727507,7
00dafe63e9d87529890f35b54fd5188a02974fda,33,34,0,15.5,0,197.13226899999998,1.0625,0.5625,571.812411,8
00dafe63e9d87529890f35b54fd5188a02974fda,6,1,0,17.0,0,634.254716,1,0,634.0,9
00dafe63e9d87529890f35b54fd5188a02974fda,21,34,0,89.0,0,634.2041939999999,0.75,-0.25,1098.32319,10
00dafe63e9d87529890f35b54fd5188a02974fda,4,0,0,80.0,0,0,1,0,193.073405,11
00dafe63e9d87529890f35b54fd5188a02974fda,18,3,0,15.0,0,43.968159999999955,1,0,903.1868999999999,12
f7993d53bbacd09c9b9d20ab51eacb40b737193a,17,0,0,16.5,0,0,1,0,680.68,1
f7993d53bbacd09c9b9d20ab51eacb40b737193a,4,0,0,18.0,0,0,1,0,417.36,2
1ecf8b739b244371b7e182746a1ff7a36286e5a0,3,3,6,35.0,467.346556,485.64634,0.91666666666666663,0.41666666666666663,1098.297875,2
7d90c09a4b9533780babd1547fb174136cda1894,0,0,1,nan,710.8,0,1,0,804.0,1
5dace465156a1df65d3022fbd7eb6303b5ad08a3,6,0,0,206.0,0,0,1.125,0.125,1029.3824319999999,3
71d602f51a95280ff6bf74533fab50eff0ca76b4,3,0,0,39.5,0,0,1,0,782.121,1
90b6d069a0eceec0d341ff39910894ea3e6e32cc,25,5,3,21.5,37.01600000000002,85.55600000000008,1,0,1098.287,1
9dd9c87d158759bf4830e62a689e1052cf581b51,2,1,2,10.0,314.0,16.0,1,0,591.80509,1
2aa0627f307c719b749df5e48b19573fcfa9a17a,92,0,0,14.0,0,0,0.75,-0.25,1098.3733333,2
4b6607450512eae5e3a73884a4c8ff3ad0a17468,7,1,0,440.5,0,77.20100000000001,1,0,317.918,2
094d8bd004b7fc2c5d5cc1e1cdc43860321cfbce,0,0,16,nan,381.4295,0,1,0,696.461841,3
