name,performance,dropout_status,course,forum_score
de93c27ad67538b6481a4f9857c626d2aef7afe0,0.03,1,1,0.78
5fa44f4d7ec6e3cb742edd14dcb6f8ff4ae21a61,0.0,1,1,0.15
a0c2aeb50447d33a01abf439f8e17946550aa5bb,0.0,1,1,0.8
566f21390185c13b265e698255df6f7beaefeb9b,0.0,1,1,0.4
6aff5578d8cfcfd2297bcec65aa68c76a4c96649,0.0,1,1,0.08
3b14f6bd5d76f13ff913fc58b732faf0b3490d8d,0.0,1,1,0.03
b6c0ebcf4b1b78fd41de15944bf3f5ce35bdb4ce,0.0,1,1,0.31
a46b958b36f0bf7ec0f149e56b7c2b63d0a16c31,0.0,1,1,0.62
bc03200eb83fb9f63f2c3b7dc8bf6c2aae783122,0.0,1,1,0.56
73167f16da3065be7cd844bb3413a557f6042811,0.02,1,1,0.07
e5c2cb0d311a456490ef758e107a282f5a144507,0.0,1,1,0.61
6e7fb6272fca96725107c71a9789844cc5b1983b,0.0,1,1,0.76
57e85ab313acf8140fc4567af7081a47b5dfad57,0.0,1,1,0.38
192cb63218d49438e54ebfad89a42151ac0933b1,0.0,1,1,0.57
8bef7d58fbfd21c64483016d1c0f85dee3736804,0.03,1,1,0.54
92361ecec2de2e2b3ae58865636bc4a737eddca0,0.0,1,1,0.26
71376559c95658b2fb47f054b06e39d24c3c1a43,0.0,1,1,0.43
eb35796089592875de4cdbbfa0d427d6eb3fae6f,0.0,1,1,0.38
cd9d379715cccc83fd8c8c2dc0730c6dd081bd35,0.0,1,1,0.55
6f7aca7fc07eb8820098b24a237c22fb0d4a2c56,0.0,1,1,0.36
ea4de4a171c851c660c2f8ebb23b8805bfdda893,0.0,1,1,0.53
bf889489522d0a5e70477f2fddba9ed196a85b04,0.0,1,1,0.43
58bbb1da444878340b04c8f11de301f2dab52bec,0.0,1,1,0.24
ffcdfaf373a9967c49bf816d958a064f0b87f3a1,0.0,1,1,0.53
6e8dbb9fe6eae7e1912b985c47f7238aea3b5d51,0.0,1,1,0.56
9c873bfa0961742cac4e6c5e5d6ae87e32766c54,0.0,1,1,0.19
58b0785d579f6781754d7f20af1e11eb484a9a38,0.0,1,1,0.77
7128574a491b7cbfc62a413471159b39979db036,0.0,1,1,0.56
5d6b5c0b142313bb1b70f83ce585e70c13c018a7,0.0,1,1,0.06
d4c52bee8f486202832f73bdc67069410c2decb0,0.0,1,1,0.84
ba16f4b34fcc2be41ebfae536c4f6fe6565ac7b8,0.0,1,1,0.44
b55a2cadde8988780dd40ad8c021c16e28e32af6,0.0,1,1,0.03
2ca9cace3ed9686e44d1a9aff4574163bff024cb,0.0,1,1,0.38
9ac1a8e847fd464673aef43325c66e2edf192e4f,0.01,1,1,0.53
d123ec5b2c17c6e6a47441ace24ea9df8e5e20bf,0.0,1,1,0.44
a252eb0156cd198de2011071efbd49d48be5c974,0.0,1,1,0.13
d482f1366d5e345fc138347d24798369ee144e6d,0.0,1,1,0.08
37ab6dbcd8b6478e98cce2edaf587833ff3c76f3,0.0,1,1,0.58
97d81a10454eed6a95b4a49345bddeb73dc611b2,0.0,1,1,0.54
8ec7be7179e1853d7a63fa67f4a36b09f24a60eb,0.03,1,1,0.18
97109d7094f798f1371eabe296ea1e40bf4f6b4c,0.0,1,1,0.08
5f987b94e565af0394c6d6a64e2bdee6797728b1,0.0,1,1,0.18
02f408cf88cf5d42fd184131f0905990a2e424c7,0.0,1,1,0.66
c2aa63143d12b4105361b1efca1ac2f75741a039,0.0,1,1,0.61
b14dbbd6e58a16b28747e6ff0b8e61922abe71cc,0.0,1,1,0.51
8d32d99eab40596ff21175e11d3edc74ecd33cdc,0.0,1,1,0.37
868578af01d318240e7ab48083048ff1ac489113,0.0,1,1,0.38
4355f8cb99a3914a169f3d1aa743243d841b8503,0.0,1,1,0.56
4eda344dabfdc64c31d64aca2c929e932bd60f81,0.0,1,1,0.73
dda560b841276b16420a7029ff311aeb99242dd2,0.0,1,1,0.72
0515dabf6db2939bd5eae45334ec59535f6126b6,0.0,1,1,0.09
c2a2d6310c3673bef21a27c3ff20c1dd0959d89d,0.0,1,1,0.88
cf0e441fa6e0e8cbcd5ead0861ac6d595ff12aae,0.0,1,1,0.29
3f413aa1098fb7b016b28fbbeaa7e7c9d5994432,0.0,1,1,0.74
8af40fe489565f631db0d6f0859b901806d83772,0.0,1,1,0.51
5bfb8a52d43f598f2c0dae188b0c6a337c2f1287,0.0,1,1,0.85
ec72e194ac37b83c8515ae052ea02abf3cda20d9,0.0,1,1,0.38
6d9360eb0fc85e8f130f73570a69ccb264a905b2,0.0,1,1,0.36
e6ec8a1d380aac634aa512f5b03033a6bd0183b5,0.0,1,1,0.86
24246635865c2c8f508d9af6a7248be3993eea10,0.0,1,1,0.85
1b6476493a1f9f56b39d5fadaaae58eb92f472e4,0.0,1,1,0.06
a84284b6a5d9eb3a5e65874743a17030f4aa54ff,0.02,1,1,0.55
51b5a273be8cca0abc862ec51985ebe22fbd6e28,0.01,1,1,0.68
7cc07d74138a55902e79af84e5e4a8bc6e9ccfa0,0.0,1,1,0.47
5a80facf34e0d2cf1aa2d4c4e0132b3c84ee7e56,0.02,1,1,0.43
93cfb9d55719facbc5f3c4a1d10e2fec62036b69,0.01,1,1,0.37
566355cd3b1e9eff98244ad0e3908788a6ada51c,0.0,1,1,0.19
4d7088d3ec0fc5203b7db5b02cfdf24ee56ab757,0.0,1,1,0.74
15e20f4c8913d0b54441b72eef287bb0a468458f,0.0,1,1,0.84
e2845f8bf7b76252c4ba1c4a2696b99d59f2a8c4,0.0,1,1,0.66
cbc98bdfc7310756edad9d03a1929abdc83ff708,0.0,1,1,0.64
9443ffc56e0d618d807d8a28e9c770e999559871,0.0,1,1,0.24
1f41cd28b286bdc86d5f3bd7d5408dfd2684a654,0.0,1,1,0.03
