name,gender,year_of_birth,level_of_education,country_three_letters,country_name
adb0ecb0e9f83032cd641293ce5303a914e02ca0,m,1967,Masters or professional degree,USA,United States
adb0ecb0e9f83032cd641293ce5303a914e02ca0,m,1967,Masters or professional degree,AUS,Australia
Charles,m,1978,Associates,GRC,Greece
Charles,m,1978,Associates,FIN,Finland
Charles,m,1978,Associates,SRB,Serbia
78dd9525ebef1a80c0f4fff904c078ffe9ee642a,m,1987,Bachelors,EGY,Egypt
78dd9525ebef1a80c0f4fff904c078ffe9ee642a,m,1987,Bachelors,USA,United States
aa7f10c9339cf2d2e72979d2c29c3ef67d2b8746,f,1997,Secondary/High School,VEN,Venezuela
7cea6e61103858276433e7c1debb2f0f5e52b66a,m,1987,Bachelors,USA,United States
b2cd772a2271ca3d3fe275277f9361904d86eff4,m,1981,Bachelors,NGA,Nigeria
586034decb66e3713c0e007adef40d1dd7246563,m,1991,Secondary/High School,USA,United States
991aaf4652f847e9ae85c61d045498f31c741a25,m,1995,Secondary/High School,IND,India
953ef914e01f91b19d8e21bb9f8d61a540fd51e8,f,1989,Junior secondary/junior high/middle School,USA,United States
James,m,1984,Masters or professional degree,USA,United States
048c014076e118ca92d4a1d65816e7a753d17797,m,1959,Doctorate,USA,United States
048c014076e118ca92d4a1d65816e7a753d17797,m,1959,Doctorate,ZZZ,Reserved
85b161f3771f4ff41cec8eb3967bd26a3e451fba,m,1987,Bachelors,EGY,Egypt
85b161f3771f4ff41cec8eb3967bd26a3e451fba,m,1987,Bachelors,KOR,Korea Republic of
07f39b27e79450a50b63e7838c451ed2a710dccd,f,1993,Secondary/High School,USA,United States
8dbcfaf66854317df1a5163ab6292b30776ff636,f,1977,Bachelors,USA,United States
bfe96e86daa2be4e8f5290e8d06cc02475409583,m,1986,Bachelors,EGY,Egypt
94f2aecdedd307fd7f34c06ee5a460769beb80f6,f,1968,Masters or professional degree,USA,United States
3b9cc35c6b4e683b20e266bf61f6ee9972f664c8,m,1976,Masters or professional degree,CAN,Canada
3b9cc35c6b4e683b20e266bf61f6ee9972f664c8,m,1976,Masters or professional degree,USA,United States
904f682f340f8c653e3817f488ec31f494e64471,m,1969,Doctorate,SGP,Singapore
45dda8a7d53adfb37de22e726b2b8f66f070d85d,m,1977,Bachelors,USA,United States
ec61917d689935e5c673acce347cc972de1c5874,m,1947,Masters or professional degree,SGP,Singapore
f8c72b4d238e286540b8d8d6eaaa47c18494d9c4,f,1998,Junior secondary/junior high/middle School,USA,United States
ae14df322aaa8d5457a9f752c8d78a85db62325f,m,1988,Bachelors,USA,United States
1e5c613c9eb51e01b4a8af3b7698414bce13a432,m,1962,Secondary/High School,NZL,New Zealand
